X, Y, Z, Time
x:1.487001,y:-0.2029999,z:1.386,time:0.8835835
x:1.487001,y:-0.2029999,z:1.386,time:0.8859437
x:1.487001,y:-0.2029999,z:1.386,time:0.8859437
x:1.487001,y:-0.2029999,z:1.386,time:0.888462
x:1.487001,y:-0.2029999,z:1.386,time:0.888462
x:1.487001,y:-0.2029999,z:1.386,time:0.890889
x:1.487001,y:-0.2029999,z:1.386,time:0.890889
x:1.487001,y:-0.2029999,z:1.386,time:0.8933101
x:1.487001,y:-0.2029999,z:1.386,time:0.8933101
x:1.487001,y:-0.2029999,z:1.386,time:0.8956402
x:1.487001,y:-0.2029999,z:1.386,time:0.8956402
x:1.487001,y:-0.2029999,z:1.386,time:0.8979089
x:1.487001,y:-0.2029999,z:1.386,time:0.8979089
x:1.487001,y:-0.2029999,z:1.386,time:0.9001259
x:1.487001,y:-0.2029999,z:1.386,time:0.9001259
x:1.487001,y:-0.2029999,z:1.386,time:0.9025525
x:1.487001,y:-0.2029999,z:1.386,time:0.9025525
x:1.487001,y:-0.2029999,z:1.386,time:0.9049297
x:1.487001,y:-0.2029999,z:1.386,time:0.9049297
x:1.487001,y:-0.2029999,z:1.386,time:0.9073449
x:1.487001,y:-0.2029999,z:1.386,time:0.9073449
x:1.487001,y:-0.2029999,z:1.386,time:0.9097451
x:1.487001,y:-0.2029999,z:1.386,time:0.9097451
x:1.487001,y:-0.2029999,z:1.386,time:0.9121399
x:1.487001,y:-0.2029999,z:1.386,time:0.9121399
x:1.487001,y:-0.2029999,z:1.386,time:0.9144078
x:1.487001,y:-0.2029999,z:1.386,time:0.9144078
x:1.487001,y:-0.2029999,z:1.386,time:0.9167204
x:1.487001,y:-0.2029999,z:1.386,time:0.9167204
x:1.487001,y:-0.2029999,z:1.386,time:0.9191248
x:1.487001,y:-0.2029999,z:1.386,time:0.9191248
x:1.487001,y:-0.2029999,z:1.386,time:0.9215496
x:1.487001,y:-0.2029999,z:1.386,time:0.9215496
x:1.487001,y:-0.2029999,z:1.386,time:0.924135
x:1.487001,y:-0.2029999,z:1.386,time:0.924135
x:1.487001,y:-0.2029999,z:1.386,time:0.9264252
x:1.487001,y:-0.2029999,z:1.386,time:0.9264252
x:1.487001,y:-0.2029999,z:1.386,time:0.9286504
x:1.487001,y:-0.2029999,z:1.386,time:0.9286504
x:1.487001,y:-0.2029999,z:1.386,time:0.9309127
x:1.487001,y:-0.2029999,z:1.386,time:0.9309127
x:1.487001,y:-0.2029999,z:1.386,time:0.9331606
x:1.487001,y:-0.2029999,z:1.386,time:0.9331606
x:1.487001,y:-0.2029999,z:1.386,time:0.9354417
x:1.487001,y:-0.2029999,z:1.386,time:0.9354417
x:1.487001,y:-0.2029999,z:1.386,time:0.9376791
x:1.487001,y:-0.2029999,z:1.386,time:0.9376791
x:1.487001,y:-0.2029999,z:1.386,time:0.940173
x:1.487001,y:-0.2029999,z:1.386,time:0.940173
x:1.487001,y:-0.2029999,z:1.386,time:0.942733
x:1.487001,y:-0.2029999,z:1.386,time:0.942733
x:1.487001,y:-0.2029999,z:1.386,time:0.9449971
x:1.487001,y:-0.2029999,z:1.386,time:0.9449971
x:1.487001,y:-0.2029999,z:1.386,time:0.9472186
x:1.487001,y:-0.2029999,z:1.386,time:0.9472186
x:1.487001,y:-0.2029999,z:1.386,time:0.9495544
x:1.487001,y:-0.2029999,z:1.386,time:0.9495544
x:1.487001,y:-0.2029999,z:1.386,time:0.9519252
x:1.487001,y:-0.2029999,z:1.386,time:0.9519252
x:1.487001,y:-0.2029999,z:1.386,time:0.9542825
x:1.487001,y:-0.2029999,z:1.386,time:0.9542825
x:1.487001,y:-0.2029999,z:1.386,time:0.9566607
x:1.487001,y:-0.2029999,z:1.386,time:0.9566607
x:1.487001,y:-0.2029999,z:1.386,time:0.958899
x:1.487001,y:-0.2029999,z:1.386,time:0.958899
x:1.487001,y:-0.2029999,z:1.386,time:0.9611735
x:1.487001,y:-0.2029999,z:1.386,time:0.9611735
x:1.487001,y:-0.2029999,z:1.386,time:0.9636151
x:1.487001,y:-0.2029999,z:1.386,time:0.9636151
x:1.487001,y:-0.2029999,z:1.386,time:0.9659507
x:1.487001,y:-0.2029999,z:1.386,time:0.9659507
x:1.487001,y:-0.2029999,z:1.386,time:0.9682877
x:1.487001,y:-0.2029999,z:1.386,time:0.9682877
x:1.487001,y:-0.2029999,z:1.386,time:0.9706562
x:1.487001,y:-0.2029999,z:1.386,time:0.9706562
x:1.487001,y:-0.2029999,z:1.386,time:0.9732185
x:1.487001,y:-0.2029999,z:1.386,time:0.9732185
x:1.487001,y:-0.2029999,z:1.386,time:0.9756427
x:1.487001,y:-0.2029999,z:1.386,time:0.9756427
x:1.487001,y:-0.2029999,z:1.386,time:0.9780184
x:1.487001,y:-0.2029999,z:1.386,time:0.9780184
x:1.487001,y:-0.2029999,z:1.386,time:0.9803741
x:1.487001,y:-0.2029999,z:1.386,time:0.9803741
x:1.487001,y:-0.2029999,z:1.386,time:0.9829235
x:1.487001,y:-0.2029999,z:1.386,time:0.9829235
x:1.487001,y:-0.2029999,z:1.386,time:0.9852979
x:1.487001,y:-0.2029999,z:1.386,time:0.9852979
x:1.487001,y:-0.2029999,z:1.386,time:0.9876293
x:1.487001,y:-0.2029999,z:1.386,time:0.9876293
x:1.487001,y:-0.2029999,z:1.386,time:0.9900352
x:1.487001,y:-0.2029999,z:1.386,time:0.9900352
x:1.487001,y:-0.2029999,z:1.386,time:0.9923713
x:1.487001,y:-0.2029999,z:1.386,time:0.9923713
x:1.487001,y:-0.2029999,z:1.386,time:0.9946908
x:1.487001,y:-0.2029999,z:1.386,time:0.9946908
x:1.487001,y:-0.2029999,z:1.386,time:0.9970201
x:1.487001,y:-0.2029999,z:1.386,time:0.9970201
x:1.487001,y:-0.2029999,z:1.386,time:0.9992567
x:1.487001,y:-0.2029999,z:1.386,time:0.9992567
x:1.487001,y:-0.2029999,z:1.386,time:1.001601
x:1.487001,y:-0.2029999,z:1.386,time:1.001601
x:1.487001,y:-0.2029999,z:1.386,time:1.004045
x:1.487001,y:-0.2029999,z:1.386,time:1.004045
x:1.487001,y:-0.2029999,z:1.386,time:1.006523
x:1.487001,y:-0.2029999,z:1.386,time:1.006523
x:1.487001,y:-0.2029999,z:1.386,time:1.008746
x:1.487001,y:-0.2029999,z:1.386,time:1.008746
x:1.487001,y:-0.2029999,z:1.386,time:1.011037
x:1.487001,y:-0.2029999,z:1.386,time:1.011037
x:1.487001,y:-0.2029999,z:1.386,time:1.013352
x:1.487001,y:-0.2029999,z:1.386,time:1.013352
x:1.487001,y:-0.2029999,z:1.386,time:1.01564
x:1.487001,y:-0.2029999,z:1.386,time:1.01564
x:1.487001,y:-0.2029999,z:1.386,time:1.01793
x:1.487001,y:-0.2029999,z:1.386,time:1.01793
x:1.487001,y:-0.2029999,z:1.386,time:1.020261
x:1.487001,y:-0.2029999,z:1.386,time:1.020261
x:1.487001,y:-0.2029999,z:1.386,time:1.022874
x:1.487001,y:-0.2029999,z:1.386,time:1.022874
x:1.487001,y:-0.2029999,z:1.386,time:1.025365
x:1.487001,y:-0.2029999,z:1.386,time:1.025365
x:1.487001,y:-0.2029999,z:1.386,time:1.027655
x:1.487001,y:-0.2029999,z:1.386,time:1.027655
x:1.487001,y:-0.2029999,z:1.386,time:1.029973
x:1.487001,y:-0.2029999,z:1.386,time:1.029973
x:1.487001,y:-0.2029999,z:1.386,time:1.03226
x:1.487001,y:-0.2029999,z:1.386,time:1.03226
x:1.487001,y:-0.2029999,z:1.386,time:1.034593
x:1.487001,y:-0.2029999,z:1.386,time:1.034593
x:1.487001,y:-0.2029999,z:1.386,time:1.036872
x:1.487001,y:-0.2029999,z:1.386,time:1.036872
x:1.487001,y:-0.2029999,z:1.386,time:1.039227
x:1.487001,y:-0.2029999,z:1.386,time:1.039227
x:1.487001,y:-0.2029999,z:1.386,time:1.041515
x:1.487001,y:-0.2029999,z:1.386,time:1.041515
x:1.487001,y:-0.2029999,z:1.386,time:1.04398
x:1.487001,y:-0.2029999,z:1.386,time:1.04398
x:1.487001,y:-0.2029999,z:1.386,time:1.046275
x:1.487001,y:-0.2029999,z:1.386,time:1.046275
x:1.487001,y:-0.2029999,z:1.386,time:1.048547
x:1.487001,y:-0.2029999,z:1.386,time:1.048547
x:1.487001,y:-0.2029999,z:1.386,time:1.050737
x:1.487001,y:-0.2029999,z:1.386,time:1.050737
x:1.487001,y:-0.2029999,z:1.386,time:1.053031
x:1.487001,y:-0.2029999,z:1.386,time:1.053031
x:1.487001,y:-0.2029999,z:1.386,time:1.055398
x:1.487001,y:-0.2029999,z:1.386,time:1.055398
x:1.487001,y:-0.2029999,z:1.386,time:1.057762
x:1.487001,y:-0.2029999,z:1.386,time:1.057762
x:1.487001,y:-0.2029999,z:1.386,time:1.060083
x:1.487001,y:-0.2029999,z:1.386,time:1.060083
x:1.487001,y:-0.2029999,z:1.386,time:1.062577
x:1.487001,y:-0.2029999,z:1.386,time:1.062577
x:1.487001,y:-0.2029999,z:1.386,time:1.064804
x:1.487001,y:-0.2029999,z:1.386,time:1.064804
