_02022023_055535,pula: red,red cube,1.461474,1.094302,-0.4629445,0.08662257,2.682188,0.06554887,0.054,0.054,0.05399999
_02022023_055535,none,green cube,48.7,1,-13.4,0,0,0,0.3,0.3,0.3
_02022023_055535,none,yellow cube,49.38,1,-13.43,0,0,0,0.3,0.3,0.3
_02022023_055535,none,white Cube,48.7,1,-12.77,0,0,0,0.3,0.3,0.3
_02022023_055535,itim: black,black cube,1.396629,1.09546,-0.2868296,-0.1672552,2.860087,0.1655754,0.05400004,0.05400001,0.05400005
_02022023_055535,none,blue Cube,49.34,1,-12.78,0,0,0,0.3,0.3,0.3
_02022023_055535,none,purple Cube,47.84,1,-11.93,0,0,0,0.3,0.3,0.3
_02022023_055535,none,orange cube,48.7,1,-11.91,0,0,0,0.3,0.3,0.3
_02022023_055535,none,Hotdog,50.19,1.06,-12.83,0,0,0,2,2,2
_02022023_055535,pababa: down,Shark,0.9147521,1.113337,0.1927106,0.1741393,0.7162322,0.08248372,0.03600002,0.03600001,0.03600001
_02022023_055535,harap: front,TV,1.476105,1.065342,-0.6346585,-0.4209751,-1.329183,-0.2495273,0.1800001,0.18,0.1800001
_02022023_055535,none,flower,50.26,0.97,-7.98,0,0,0,8,8,8
_02022023_055535,none,FantasyBee,47.95,0.55,-9.64,0,0,0,1,1,1
_02022023_055535,none,AcousticGuitar,48.84,0.74,-9.06,1.570796,0,0,2,2,2
_02022023_055535,malamig: cold,Snowman,1.123753,1.247069,0.00293272,-1.269441,-2.870669,-0.01008551,14.40001,14.4,14.40001
_02022023_055535,mapurol: blunt,Clouds,0.562422,0.8580989,0.1951173,-0.07789624,2.921493,0.2255175,0.0009000006,0.0009000002,0.0009000005
_02022023_055535,parisukat: square,Table,1.455909,1.353444,-0.3675035,-1.327357,-1.900242,-1.291756,1.080001,2.340001,2.340001
_02022023_055535,none,House,48.34,0.429,-7.33,0,0,0,0.3,0.3,0.3
_02022023_055535,none,Soccer Ball,49.73,0.86,-9.84,0,0,0,3,3,3
_02022023_055535,malungkot: sad,cat,0.6697425,1.030723,0.3691303,-0.05807803,1.952153,0.1225867,0.7200001,0.72,0.72
_02022023_055535,none,Cheese,52.8,0.73,-10.11,0,0,0,2,2,2
_02022023_055535,maliit: small,GoldCoins,0.3223362,0.8893215,-0.04377592,0.003820056,1.008409,0.3387277,1.8,1.8,1.8
_02022023_055535,none,Banana,48.61,0.69,-10.38,0,0,0,2,2,2
_02022023_055535,none,Tree,49.33,0.981,-12.165,0,0,0,150,150,150
_02022023_055535,matamis: sweet,Watermelon,0.7804977,1.415087,0.2908899,0.03770787,1.600957,-0.1184293,0.05400005,0.054,0.05400003
_02022023_055535,matigas: hard,book,0.8701698,0.8210463,0.06608978,0.08376298,1.924277,0.306532,0.5400009,0.5400001,0.5400008
_02022023_055535,none,Axe,53.63,1.73,-6.66,-1.570796,0,0,1,1,1
_02022023_055535,none,StopSign,54.39,0.67,-6.92,0,0,0,0.2,0.2,0.2
_02022023_055535,none,Crystals,49.76,0.834,-11.14,0,0,0,0.2,0.2,0.2
_02022023_055535,mabagal: slow,Clock,1.07794,0.9674402,-0.2201869,-0.4341192,-2.32198,0.03970634,0.5400003,0.5400001,0.5400002
_02022023_055535,madilim: dark,Car,1.294921,0.9829409,-0.403622,0.1777665,2.508461,0.1731536,0.03600001,0.03600001,0.03600001
_02022023_055535,pataas: up,Airplane,1.15668,1.566405,-0.1818596,-0.04942237,1.555818,-0.0675275,0.01800001,0.018,0.01800001
_02022023_055535,none,Heart,49.34,1.12,-6.83,-1.570796,0,0,0.5,0.5,0.5
Heart<><><><><><> this is the last item, cut here. <><><><><><>
